"Year","Annual wages, U.S., 1900 to 1970"
"1900",487
"1901",511
"1902",537
"1903",548
"1904",538
"1905",561
"1906",577
"1907",598
"1908",548
"1909",599
"1910",651
"1911",632
"1912",651
"1913",689
"1914",696
"1915",661
"1916",751
"1917",883
"1918",1107
"1919",1293
"1920",1532
"1921",1396
"1922",1283
"1923",1403
"1924",1427
"1925",1450
"1926",1476
"1927",1502
"1928",1534
"1929",1543
"1930",1488
"1931",1369
"1932",1150
"1933",1086
"1934",1153
"1935",1216
"1936",1287
"1937",1376
"1938",1296
"1939",1363
"1940",1432
"1941",1653
"1942",2023
"1943",2349
"1944",2517
"1945",2517
"1946",2517
"1947",2793
"1948",3038
"1949",3095
"1950",3302
"1951",3608
"1952",3832
"1953",4053
"1954",4123
"1955",4356
"1956",4589
"1957",4786
"1958",4946
"1959",5221
"1960",5352
"1961",5507
"1962",5730
"1963",5920
"1964",6196
"1965",6389
"1966",6643
"1967",6880
"1968",7347
"1969",7775
"1970",8150

Annual wages, U.S., 1900 to 1970

