"""Year"";""Percent of Men with full beards, 1866 ? 1911"""
"""1866"";20"
"""1867"";24"
"""1868"";10"
"""1869"";21"
"""1870"";28"
"""1871"";10"
"""1872"";21"
"""1873"";16"
"""1874"";35"
"""1875"";75"
"""1876"";37"
"""1877"";29"
"""1878"";45"
"""1879"";34"
"""1880"";24"
"""1881"";41"
"""1882"";44"
"""1883"";58"
"""1884"";34"
"""1885"";88"
"""1886"";43"
"""1887"";46"
"""1888"";42"
"""1889"";49"
"""1890"";93"
"""1891"";41"
"""1892"";40"
"""1893"";53"
"""1894"";62"
"""1895"";68"
"""1896"";12"
"""1897"";48"
"""1898"";34"
"""1899"";28"
"""1900"";40"
"""1901"";59"
"""1902"";52"
"""1903"";43"
"""1904"";67"
"""1905"";53"
"""1906"";91"
"""1907"";50"
"""1908"";73"
"""1909"";26"
"""1910"";95"
"""1911"";66"
