"Month";"Monthly gasoline demand Ontario gallon millions 1960 ? 1975"
"1960-01";87695
"1960-02";86890
"1960-03";96442
"1960-04";98133
"1960-05";113615
"1960-06";123924
"1960-07";128924
"1960-08";134775
"1960-09";117357
"1960-10";114626
"1960-11";107677
"1960-12";108087
"1961-01";92188
"1961-02";88591
"1961-03";98683
"1961-04";99207
"1961-05";125485
"1961-06";124677
"1961-07";132543
"1961-08";140735
"1961-09";124008
"1961-10";121194
"1961-11";111634
"1961-12";111565
"1962-01";101007
"1962-02";94228
"1962-03";104255
"1962-04";106922
"1962-05";130621
"1962-06";125251
"1962-07";140318
"1962-08";146174
"1962-09";122318
"1962-10";128770
"1962-11";117518
"1962-12";115492
"1963-01";108497
"1963-02";100482
"1963-03";106140
"1963-04";118581
"1963-05";132371
"1963-06";132042
"1963-07";151938
"1963-08";150997
"1963-09";130931
"1963-10";137018
"1963-11";121271
"1963-12";123548
"1964-01";109894
"1964-02";106061
"1964-03";112539
"1964-04";125745
"1964-05";136251
"1964-06";140892
"1964-07";158390
"1964-08";148314
"1964-09";144148
"1964-10";140138
"1964-11";124075
"1964-12";136485
"1965-01";109895
"1965-02";109044
"1965-03";122499
"1965-04";124264
"1965-05";142296
"1965-06";150693
"1965-07";163331
"1965-08";165837
"1965-09";151731
"1965-10";142491
"1965-11";140229
"1965-12";140463
"1966-01";116963
"1966-02";118049
"1966-03";137869
"1966-04";127392
"1966-05";154166
"1966-06";160227
"1966-07";165869
"1966-08";173522
"1966-09";155828
"1966-10";153771
"1966-11";143963
"1966-12";143898
"1967-01";124046
"1967-02";121260
"1967-03";138870
"1967-04";129782
"1967-05";162312
"1967-06";167211
"1967-07";172897
"1967-08";189689
"1967-09";166496
"1967-10";160754
"1967-11";155582
"1967-12";145936
"1968-01";139625
"1968-02";137361
"1968-03";138963
"1968-04";155301
"1968-05";172026
"1968-06";165004
"1968-07";185861
"1968-08";190270
"1968-09";163903
"1968-10";174270
"1968-11";160272
"1968-12";165614
"1969-01";146182
"1969-02";137728
"1969-03";148932
"1969-04";156751
"1969-05";177998
"1969-06";174559
"1969-07";198079
"1969-08";189073
"1969-09";175702
"1969-10";180097
"1969-11";155202
"1969-12";174508
"1970-01";154277
"1970-02";144998
"1970-03";159644
"1970-04";168646
"1970-05";166273
"1970-06";190176
"1970-07";205541
"1970-08";193657
"1970-09";182617
"1970-10";189614
"1970-11";174176
"1970-12";184416
"1971-01";158167
"1971-02";156261
"1971-03";176353
"1971-04";175720
"1971-05";193939
"1971-06";201269
"1971-07";218960
"1971-08";209861
"1971-09";198688
"1971-10";190474
"1971-11";194502
"1971-12";190755
"1972-01";166286
"1972-02";170699
"1972-03";181468
"1972-04";174241
"1972-05";210802
"1972-06";212262
"1972-07";218099
"1972-08";229001
"1972-09";203200
"1972-10";212557
"1972-11";197095
"1972-12";193693
"1973-01";188992
"1973-02";175347
"1973-03";196265
"1973-04";203526
"1973-05";227443
"1973-06";233038
"1973-07";234119
"1973-08";255133
"1973-09";216478
"1973-10";232868
"1973-11";221616
"1973-12";209893
"1974-01";194784
"1974-02";189756
"1974-03";193522
"1974-04";212870
"1974-05";248565
"1974-06";221532
"1974-07";252642
"1974-08";255007
"1974-09";206826
"1974-10";233231
"1974-11";212678
"1974-12";217173
"1975-01";199024
"1975-02";191813
"1975-03";195997
"1975-04";208684
"1975-05";244113
"1975-06";243108
"1975-07";255918
"1975-08";244642
"1975-09";237579
"1975-10";237579
"1975-11";217775
"1975-12";227621

Monthly gasoline demand Ontario gallon millions 1960 ? 1975

